#,Model,Serial,IP Adress,Supply Date,Begin Count,Last Count,Count,Total Pages
1,Vered Brother MFC-8950DW,,10.1.2.171,02/12/2018,0,44957,47262,2305
2,TH Samsung SL-M4070FR,ZDFLBJFF1000D2V,10.1.2.200,02/12/2018,73349,103324,105140,1816
3,Evgeny Brother MFC-L2710DN,E78294H8N384930,10.1.2.180,02/12/2018,70888,18791,19194,403
4,Kiut EPSON WF-M5799,X3BL072291,10.1.1.212,27/04/2021,10,33128,36828,3700
5,Kabala Brother MFC-L2710DN,E78294J8N535626,10.1.1.223,06/12/2018,0,12227,12844,617
6,SMT Samsung SL-M3370FR,ZDFLBJAH70002BT,10.1.1.180,06/12/2018,0,151250,152063,813
7,Shipping EPSON WF-M5799,X3BL050799,10.1.1.122,24.10.2020,0,44955,48390,3435
8,Engeneers Brother MFC-L2710DN,E78294J8N535628,10.1.2.55,06/12/2018,0,25110,25584,474
9,Nimrod Brother MFC-L2710DN,E78294J8N535613,10.1.1.199,06/12/2018,0,15154,15468,314
10,Dima Brother MFC-J5330DW,E76884F8F143147,10.1.2.101,06/12/2018,0,12265,12699,434
11,Management Brother MFC-J5330DW,E76884J8F149384,10.1.2.83,06/12/2018,0,12095,12228,133
12,Hanna Brother 5089,E70781L2N291381,10.1.2.115,06/12/2018,59488,109978,111729,1751
13,Guy Brother MFC-J5330DW,E76884F8F143145,10.1.1.61,06/12/2018,0,1824,1896,72
14,Orly Brother MFC-L2710DN,E78294H8N384910,10.1.2.99,10/12/2018,0,5828,6213,385
15,Dovrat Brother MFC-L5750DW,E75396H7N529375,10.1.2.4,21.02.2021,39996,40756,40788,32
16,Valery Brother MFC-L2710DN,E78294A9N157062,10.1.2.98,07.02.2022,16715,17238,17533,295
